target_bundle,scope_type,scope,method,records,scored_tokens,correct_tokens,token_accuracy,exact_records,exact_record_rate,tie_positions,projected_correct_tokens,a1_correct_tokens,token_delta,projected_accuracy,a1_accuracy,gain_tokens,regression_tokens,both_correct_tokens,both_wrong_tokens,equal_tokens
paired_1,position,5,historical_a1.cosine,24,24,24,1.0,,,0,,,,,,,,,,
paired_1,position,6,historical_a1.cosine,24,24,23,0.9583333333333334,,,0,,,,,,,,,,
paired_1,position,7,historical_a1.cosine,24,24,22,0.9166666666666666,,,0,,,,,,,,,,
paired_1,position,8,historical_a1.cosine,24,24,23,0.9583333333333334,,,0,,,,,,,,,,
paired_1,position,9,historical_a1.cosine,24,24,22,0.9166666666666666,,,0,,,,,,,,,,
paired_1,position,10,historical_a1.cosine,24,24,23,0.9583333333333334,,,0,,,,,,,,,,
paired_1,position,11,historical_a1.cosine,24,24,21,0.875,,,0,,,,,,,,,,
paired_1,position,12,historical_a1.cosine,24,24,24,1.0,,,0,,,,,,,,,,
paired_1,position,13,historical_a1.cosine,24,24,24,1.0,,,0,,,,,,,,,,
paired_1,position,14,historical_a1.cosine,24,24,23,0.9583333333333334,,,0,,,,,,,,,,
paired_1,position,15,historical_a1.cosine,24,24,20,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,16,historical_a1.cosine,24,24,22,0.9166666666666666,,,0,,,,,,,,,,
paired_1,position,17,historical_a1.cosine,24,18,14,0.7777777777777778,,,0,,,,,,,,,,
paired_1,position,18,historical_a1.cosine,24,18,16,0.8888888888888888,,,0,,,,,,,,,,
paired_1,position,19,historical_a1.cosine,24,18,16,0.8888888888888888,,,0,,,,,,,,,,
paired_1,position,20,historical_a1.cosine,24,18,17,0.9444444444444444,,,0,,,,,,,,,,
paired_1,position,21,historical_a1.cosine,24,18,18,1.0,,,0,,,,,,,,,,
paired_1,position,22,historical_a1.cosine,24,18,15,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,23,historical_a1.cosine,24,18,16,0.8888888888888888,,,0,,,,,,,,,,
paired_1,position,24,historical_a1.cosine,24,18,17,0.9444444444444444,,,0,,,,,,,,,,
paired_1,position,25,historical_a1.cosine,24,18,18,1.0,,,0,,,,,,,,,,
paired_1,position,26,historical_a1.cosine,24,18,17,0.9444444444444444,,,0,,,,,,,,,,
paired_1,position,27,historical_a1.cosine,24,18,17,0.9444444444444444,,,0,,,,,,,,,,
paired_1,position,28,historical_a1.cosine,24,18,15,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,29,historical_a1.cosine,24,18,17,0.9444444444444444,,,0,,,,,,,,,,
paired_1,position,30,historical_a1.cosine,24,18,17,0.9444444444444444,,,0,,,,,,,,,,
paired_1,position,31,historical_a1.cosine,24,18,18,1.0,,,0,,,,,,,,,,
paired_1,position,32,historical_a1.cosine,24,18,16,0.8888888888888888,,,0,,,,,,,,,,
paired_1,position,33,historical_a1.cosine,24,18,16,0.8888888888888888,,,0,,,,,,,,,,
paired_1,position,34,historical_a1.cosine,24,18,16,0.8888888888888888,,,0,,,,,,,,,,
paired_1,position,35,historical_a1.cosine,24,18,18,1.0,,,0,,,,,,,,,,
paired_1,position,36,historical_a1.cosine,24,18,16,0.8888888888888888,,,0,,,,,,,,,,
paired_1,position,37,historical_a1.cosine,24,18,17,0.9444444444444444,,,0,,,,,,,,,,
paired_1,position,38,historical_a1.cosine,24,18,14,0.7777777777777778,,,0,,,,,,,,,,
paired_1,position,39,historical_a1.cosine,24,18,15,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,40,historical_a1.cosine,24,12,11,0.9166666666666666,,,0,,,,,,,,,,
paired_1,position,41,historical_a1.cosine,24,12,12,1.0,,,0,,,,,,,,,,
paired_1,position,42,historical_a1.cosine,24,12,11,0.9166666666666666,,,0,,,,,,,,,,
paired_1,position,43,historical_a1.cosine,24,12,11,0.9166666666666666,,,0,,,,,,,,,,
paired_1,position,44,historical_a1.cosine,24,12,11,0.9166666666666666,,,0,,,,,,,,,,
paired_1,position,45,historical_a1.cosine,24,12,11,0.9166666666666666,,,0,,,,,,,,,,
paired_1,position,46,historical_a1.cosine,24,12,10,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,47,historical_a1.cosine,24,12,10,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,48,historical_a1.cosine,24,12,11,0.9166666666666666,,,0,,,,,,,,,,
paired_1,position,49,historical_a1.cosine,24,12,11,0.9166666666666666,,,0,,,,,,,,,,
paired_1,position,50,historical_a1.cosine,24,12,10,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,51,historical_a1.cosine,24,12,12,1.0,,,0,,,,,,,,,,
paired_1,position,52,historical_a1.cosine,24,12,11,0.9166666666666666,,,0,,,,,,,,,,
paired_1,position,53,historical_a1.cosine,24,12,10,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,54,historical_a1.cosine,24,12,12,1.0,,,0,,,,,,,,,,
paired_1,position,55,historical_a1.cosine,24,12,10,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,56,historical_a1.cosine,24,12,9,0.75,,,0,,,,,,,,,,
paired_1,position,57,historical_a1.cosine,24,12,11,0.9166666666666666,,,0,,,,,,,,,,
paired_1,position,58,historical_a1.cosine,24,12,11,0.9166666666666666,,,0,,,,,,,,,,
paired_1,position,59,historical_a1.cosine,24,12,12,1.0,,,0,,,,,,,,,,
paired_1,position,60,historical_a1.cosine,24,12,11,0.9166666666666666,,,0,,,,,,,,,,
paired_1,position,61,historical_a1.cosine,24,12,10,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,62,historical_a1.cosine,24,12,12,1.0,,,0,,,,,,,,,,
paired_1,position,63,historical_a1.cosine,24,12,12,1.0,,,0,,,,,,,,,,
paired_1,position,64,historical_a1.cosine,24,12,11,0.9166666666666666,,,0,,,,,,,,,,
paired_1,position,65,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,66,historical_a1.cosine,24,6,6,1.0,,,0,,,,,,,,,,
paired_1,position,67,historical_a1.cosine,24,6,6,1.0,,,0,,,,,,,,,,
