condition,cut_depth,method,records,scored_tokens,token_accuracy,token_accuracy_ci_low,token_accuracy_ci_high,exact_sequence_match_rate,top16_recall,conditional_selection_accuracy,mean_seconds_per_record
matched_public,0,direct_inverse,64,2496,1.0,1.0,1.0,1.0,1.0,1.0,0.005207705031239129
matched_public,0,causal_public_surrogate_search,64,2496,1.0,1.0,1.0,1.0,1.0,1.0,0.006425127046838952
matched_public,4,direct_inverse,64,2496,0.6290064102564102,0.5949519230769231,0.6626602564102564,0.0,0.8297275641025641,0.7580878802510864,0.003077483515653512
matched_public,4,causal_public_surrogate_search,64,2496,0.8193108974358975,0.7940705128205128,0.84375,0.0,0.8297275641025641,0.987445678416224,0.032443292093773834
matched_public,8,direct_inverse,64,2496,0.48878205128205127,0.4551282051282051,0.5224358974358975,0.0,0.7271634615384616,0.6721763085399449,0.0029000491874739964
matched_public,8,causal_public_surrogate_search,64,2496,0.671073717948718,0.641025641025641,0.7011217948717948,0.0,0.7271634615384616,0.9228650137741047,0.045785229312514275
unavailable_target_lora,0,direct_inverse,64,2496,1.0,1.0,1.0,1.0,1.0,1.0,0.0029516219843799263
unavailable_target_lora,0,causal_public_surrogate_search,64,2496,1.0,1.0,1.0,1.0,1.0,1.0,0.003364130218756145
unavailable_target_lora,4,direct_inverse,64,2496,0.6470352564102564,0.6121794871794872,0.6806991185897435,0.0,0.8465544871794872,0.7643161381921438,0.0029330804218830053
unavailable_target_lora,4,causal_public_surrogate_search,64,2496,0.8397435897435898,0.8153044871794872,0.8625801282051282,0.0,0.8465544871794872,0.9919545669663985,0.026208512968764808
unavailable_target_lora,8,direct_inverse,64,2496,0.4967948717948718,0.4627403846153846,0.530849358974359,0.0,0.7307692307692307,0.6798245614035088,0.0029018549531087956
unavailable_target_lora,8,causal_public_surrogate_search,64,2496,0.6730769230769231,0.640625,0.7051282051282051,0.0,0.7307692307692307,0.9210526315789473,0.04475906343748193
