domain,stage,method,proposal_seconds,candidate_branch_simulation_seconds,direct_scoring_seconds,cache_commit_seconds,decode_seconds,adapter_total_seconds,all_invocation_proposal_seconds,all_invocation_candidate_branch_simulation_seconds,all_invocation_direct_scoring_seconds,all_invocation_cache_commit_seconds,all_invocation_decode_seconds,all_invocation_adapter_total_seconds,warmed_total_seconds,designated_candidate_simulations,all_warmup_measured_candidate_simulations,designated_committed_cache_tokens,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,rss_peak_bytes
pile,0,a1_k256,0.1820355050294893,16.091928625945002,0.8044516886147903,8.75081703090109,31.73366183300095,31.930445342033636,0.9498434159468161,64.46438318281434,3.225338264805032,35.28787441755412,127.42364585497126,128.41644766408717,31.96072056000412,1040384,4161536,4096,2454530048,4250927104,4936347648
pile,0,b1_k256,0.2597233040287392,16.08255719031149,0.8066834568744525,8.710124831166468,31.67937928099127,31.953245702941786,1.1400583990471205,64.35075716194115,3.227188691525953,34.84115091456624,126.72726310006692,127.9112809519429,31.983236130981822,1040384,4161536,4096,2930551296,4250927104,4936347648
pile,0,b1_k16,0.25779124509426765,10.978103825094877,0.7402381199062802,8.662206353823422,26.296523239972885,26.564238696955726,1.0347400290775113,43.96743766395957,2.976854659136734,34.645520335805486,105.27950806400622,106.35334214290197,26.593593521989533,65024,260096,4096,2930551296,4250927104,4936347648
pile,0,a1_k16,0.1788308169634547,10.959611198442872,0.7355488401954062,8.634788309253054,26.244021407997934,26.43352489496465,0.7186786179663613,43.8817747739522,2.962246153576416,34.58439231655211,105.07557262798946,105.83397077898553,26.462655434035696,65024,260096,4096,2276804608,4250927104,4936347648
pile,0,b1_alone,0.13100118302099872,0.0,0.0,0.0,0.0009088389779208228,0.13949739397503436,0.5351975650846725,0.0,0.0,0.0,0.003960722999181598,0.5704637069866294,0.1643934060120955,0,0,0,2393868288,4250927104,4936347648
pile,64,a1_k256,0.1807926439505536,16.18808116717264,0.8195112116081873,8.80351544637233,31.914228912006365,32.10720755899092,0.9033101150125731,64.87076709912799,3.2752204253338277,35.48258354066638,128.15855362894945,129.10563878397807,32.137337886029854,1040384,4161536,4096,2454530048,4250927104,4939714560
pile,64,b1_k256,0.2591726030368591,16.19287486113899,0.8134960128809325,8.786209763013176,31.887330685043707,32.15847567500896,1.1365604190650629,64.76794188003987,3.273194449036964,35.125819090768346,127.55487365399313,128.73562467684678,32.188866805969155,1040384,4161536,4096,2930551296,4250927104,4939714560
pile,64,b1_k16,0.2581261859741062,11.060914179077372,0.747467142471578,8.707885322306538,26.438626658986323,26.708161922972067,1.0387549110455438,44.32392874233483,3.001857777519035,34.912187426089076,106.04775480712124,107.12583894090494,26.738090272046975,65024,260096,4096,2930551296,4250927104,4939714560
pile,64,a1_k16,0.178386122934171,11.050976797982003,0.7461780791782076,8.70677815504314,26.431208582012914,26.621200884022983,0.7179493338917382,44.22880865151819,2.9911121169570833,34.797433224419365,105.74743422203755,106.50551852599892,26.65213152600336,65024,260096,4096,2276804608,4250927104,4939714560
pile,64,b1_alone,0.1321950509591261,0.0,0.0,0.0,0.0009144299401668832,0.14068296604091302,0.5374536938907113,0.0,0.0,0.0,0.0040197369089582935,0.5733992700843373,0.1651436179963639,0,0,0,2393868288,4250927104,4939714560
