step,domain_balanced_token_accuracy,Finance_token_accuracy,Pile_token_accuracy,Finance_correct_tokens,Finance_token_rows,Pile_correct_tokens,Pile_token_rows,validation_correct_tokens,validation_token_rows,validation_seconds,checkpoint_file,checkpoint_file_sha256,logical_state_sha256,frozen64_row_count,frozen64_batch_count,frozen64_position_chunk_count,frozen64_full_vocab_logits_rows,frozen64_elapsed_seconds,full_bank_row_count,full_bank_batch_count,full_bank_position_chunk_count,full_bank_full_vocab_logits_rows,full_bank_elapsed_seconds
0,0.9681809793307087,0.9826833169291339,0.9536786417322834,31949,32512,15503,16256,47452,48768,2.347028174001025,/tmp/trr-p09-runtime/fixed-control-b1-r3/states/checkpoint_step_000000.safetensors,396925ba7264050fadfa8b0e44fbfc9f3c37802387b4104d61c4605ff6949569,3eae9b97d36a963b157128810895aadf7431ebb7740e9d703b8484dc695c391c,64,8,19,6972,1.2680617959995288,12000,1500,3104,1243710,72.83089950101567
1000,0.986205093503937,0.9908649114173228,0.9815452755905512,32215,32512,15956,16256,48171,48768,1.6935582589940168,/tmp/trr-p09-runtime/fixed-control-b1-r3/states/checkpoint_step_001000.safetensors,d233fa0885db09f19d1e59dc73c6673668ee9e4e354076130fed15d0ccdc5209,564ff09a15543c478f6ef0e827099a1a9d6c4409c71f149d67c6300523c27aac,64,8,19,6972,0.9628922670090105,,,,,
2000,0.9901267224409449,0.9917568897637795,0.9884965551181102,32244,32512,16069,16256,48313,48768,1.6885260890121572,/tmp/trr-p09-runtime/fixed-control-b1-r3/states/checkpoint_step_002000.safetensors,19181d7f8cd295c675e9c79570bdba8617a62f8ae492621ec995b987a29ccb43,ea8d8cc9bbf8fb437aa03ac48b9821f1bbc79bf186cb9363a3beb3c702b48cad,64,8,19,6972,0.8119304130086675,,,,,
4000,0.9933101624015748,0.9936331200787402,0.9929872047244095,32305,32512,16142,16256,48447,48768,1.8703994930256158,/tmp/trr-p09-runtime/fixed-control-b1-r3/states/checkpoint_step_004000.safetensors,9392a1af3b917093e583ff2ec5cf1de0b0b946e8d603acfc77a4c669eb055f92,79b5f11279875ea1b3566acab10ca030cb39b42b3fcf1eaa1c5d377d485b700c,64,8,19,6972,0.88009952698485,,,,,
8000,0.9937100147637795,0.9938176673228346,0.9936023622047244,32311,32512,16152,16256,48463,48768,1.944957299012458,/tmp/trr-p09-runtime/fixed-control-b1-r3/states/checkpoint_step_008000.safetensors,2188a7f52e2143b199317e41fad9f4a33b00fa5a0bc6d269533dadd5a6f41d22,aaed04ab06a9ec73eba4f622a7fc3ecc8b314a619956723cc59ad0d3657803f5,64,8,19,6972,0.8501110869983677,,,,,
12000,0.9944174458661417,0.9938791830708661,0.9949557086614174,32313,32512,16174,16256,48487,48768,1.8007744899950922,/tmp/trr-p09-runtime/fixed-control-b1-r3/states/checkpoint_step_012000.safetensors,e17bf5e10e4b80e3a714532f07d64245dd2fa15fec4d9a07d629117bca5860c4,116e7a6b0aea86e3a225c7259664433bf4433dcd98bdeae3168fc8f3815874fc,64,8,19,6972,0.8721330180123914,,,,,
13000,0.9944328248031495,0.9938484251968503,0.9950172244094488,32312,32512,16175,16256,48487,48768,1.8173816819908097,/tmp/trr-p09-runtime/fixed-control-b1-r3/states/checkpoint_step_013000.safetensors,5757506003f0a4b82cb1cd6de2a82f11345f2dbcbce13c8cf18c4f515de3ec3a,209155048df936359870a1419803800d7bad4ab72a46e09bf3287648079964da,64,8,19,6972,0.8422396929818206,12000,1500,3104,1243710,75.29783406699426
